timestamp,users_holding
"2018-05-02 04:54:07",1330
"2018-05-02 06:39:19",1330
"2018-05-03 00:35:50",1339
"2018-05-03 06:34:17",1339
"2018-05-03 06:49:17",1339
"2018-05-03 07:07:29",1339
"2018-05-03 07:34:41",1339
"2018-05-03 07:43:58",1339
"2018-05-03 11:20:02",1339
"2018-05-03 12:43:26",1339
"2018-05-03 13:43:26",1339
"2018-05-03 14:43:26",1336
"2018-05-03 15:43:27",1321
"2018-05-03 16:43:27",1326
"2018-05-03 17:43:27",1328
"2018-05-03 18:43:26",1326
"2018-05-03 19:43:26",1325
"2018-05-03 20:43:27",1328
"2018-05-03 21:43:27",1328
"2018-05-03 22:43:28",1328
"2018-05-03 23:43:26",1328
"2018-05-04 00:43:26",1328
"2018-05-04 01:43:27",1328
"2018-05-04 02:43:28",1328
"2018-05-04 03:43:27",1328
"2018-05-04 04:43:27",1328
"2018-05-04 05:43:27",1328
"2018-05-04 06:43:27",1328
"2018-05-04 07:43:27",1328
"2018-05-04 08:43:28",1328
"2018-05-04 09:43:28",1328
"2018-05-04 10:43:27",1328
"2018-05-04 11:43:27",1328
"2018-05-04 12:43:26",1328
"2018-05-04 20:48:11",1327
"2018-05-04 20:54:11",1327
"2018-05-04 21:00:10",1327
"2018-05-04 21:06:10",1327
"2018-05-04 21:12:10",1327
"2018-05-04 21:18:09",1327
"2018-05-04 21:24:09",1327
"2018-05-04 21:30:08",1327
"2018-05-04 21:43:26",1327
"2018-05-04 22:43:27",1327
"2018-05-04 23:43:27",1327
"2018-05-05 00:43:26",1327
"2018-05-05 01:43:27",1327
"2018-05-05 02:43:27",1327
"2018-05-05 03:43:27",1327
"2018-05-05 04:43:27",1327
"2018-05-05 05:43:26",1327
"2018-05-05 06:43:28",1327
"2018-05-05 07:43:28",1327
"2018-05-05 08:43:27",1327
"2018-05-05 09:43:26",1327
"2018-05-05 10:43:28",1327
"2018-05-05 11:43:27",1327
"2018-05-05 12:43:27",1327
"2018-05-05 13:43:28",1327
"2018-05-05 14:43:27",1327
"2018-05-05 15:43:28",1327
"2018-05-05 16:43:28",1326
"2018-05-05 17:43:28",1326
"2018-05-05 18:43:27",1326
"2018-05-05 19:43:27",1326
"2018-05-05 20:43:27",1326
"2018-05-05 21:43:26",1326
"2018-05-05 22:43:27",1326
"2018-05-05 23:43:26",1326
"2018-05-06 00:43:26",1326
"2018-05-06 01:43:27",1326
"2018-05-06 02:43:27",1326
"2018-05-06 03:43:27",1326
"2018-05-06 04:43:27",1326
"2018-05-06 05:43:27",1326
"2018-05-06 06:43:27",1326
"2018-05-06 07:43:31",1326
"2018-05-06 08:43:26",1326
"2018-05-06 09:43:26",1326
"2018-05-06 10:43:26",1326
"2018-05-06 11:43:27",1326
"2018-05-06 12:43:26",1326
